Indonesian	Minangkabau
.Ketika saya pergi ke pasar, saya membeli sayuran, buah-buahan, dan daging untuk menyediakan makanan yang sehat dan lezat bagi keluarga saya.	.Uda basamoang ka pasar, uda mangarao buruang, pakanang, jo baso banaak, salamiek eh matak tabaduak lai ko keluarga uda.
.Saat aku bangun dari tidur pagi-pagi,aku mencuci wajah, menyikat gigi, memakai baju, membuka jendela, menyalakan lampu, dan memasak sarapan di dapur.	.Saat balek dari leko-leko, ami pamit sama rayek, ami singgah di pasar, ami beli ayam, ami beli ikan, ami beli sayur, ami beli rempah-rempah, ami beli beras, ami balik rumah dengan lapek sekali.
Meskipun cuaca tidak bersahabat, tetapi ibu-ibu di pasar masih tetap semangat mempersiapkan jualan mereka dengan segala kegiatan terkait seperti memotong sayuran, mencuci ikan, memasak nasi, dan mencuci alat-alat dapur.	Walaupun cuaco indak solah, namun mamak-mamak di pasar masih tetap bersemangat mempereseiapkan jualan mereka dengan semua kegiatan yang memberiakaitkan ka petompok sayur, nyuci ikang, mammanggang nasik, dan mandaki alat-alat dapur.
Pada pagi yang cerah, saya akan pergi ke pasar untuk membeli sayuran segar, daging sapi yang berkualitas, ikan laut yang masih segar, bumbu dapur yang lengkap, serta buah-buahan yang lezat dan sehat.	Sado pagi nan indah, aku akan datang ke pasaran untuak mambari sayuran sariak, daging sapo nan bagayo, ikannyo laut nan masih sariak, lumah dapur nan lapiah, ombok-ombok nan lazat dan sehat.
Ketika saya bangun pagi-pagi, saya bangkit dari tempat tidur, kemudian membersihkan diri, menggosok gigi, mengambil wudhu, dan memakai pakaian yang rapi.	Bapuko saya makambang pagi-pagi, bapuko saya kapalo dari kasur, kemudian mambalai diri, mambacat gigi, masuak udhu, dan memakai baju yang barus.
Saat musim hujan tiba, air mengalir deras di sungai-sungai, banjir sering terjadi di kota-kota besar, orang-orang berkumpul di warung untuk menikmati secangkir kopi hangat, dan petani sibuk membajak sawah untuk menanam padi.	Apabila musim hujan datang, aia bakal berderang di kali-kali, banjir sering rak di koto-koto kuanamo, urang mampu berkumpul di warong untuak manikmati kopi tado haluik, dan petani mambajak lahanno-lahanno untuak mananam padi.
Saya senang belajar bahasa Inggris, karena saya bisa berbicara dengan orang luar negeri, membaca buku dalam bahasa Inggris, menonton film tanpa subtitle, dan bisa melamar pekerjaan di perusahaan asing yang membutuhkan kemampuan berbahasa Inggris yang baik.	Aku ramai suko belajar bahaso Inggris, sitiaki karna aku biso mambicaro sanak nan luar negeri, mambaco buku dalam bahaso Inggris, mambalok film tanpo taleh, nak pasayoan manjalankan profesi di piriusahaan asing nan mancarikan talento nan pandai bahaso Inggris.
Saya suka makan makanan Indonesia seperti nasi goreng, sate ayam, dan rendang sapi; namun, saya juga menyukai masakan luar negeri seperti sushi, pizza, dan kebab.	Saya pangih mangan aia Indonesia ka diantaranyo nasi goreng, lamek panyiram, jo rengginang, tapi, saya juo suka mangan masakan luar nokoro ka diantaronyo sushi, pizza, jo kebab.
Ketika matahari terbit dari ufuk timur, burung-burung mulai berkicau dengan merdu, bunga-bunga merekah dengan indah, pohon-pohon menjulang tinggi dengan megah, dan hewan-hewan liar mengembara mencari makanan di hutan belantara.	Sabalum matah adiak sabipasa dari bukit sari nan tinggi, buruang sarupo tabang kain bunyi nan membiak asa laku mangunjungi, sampan jo bunga sabalum tibaik mangeluak kiciah, dana tumbiak sarupo pantara mambuak duduak sa’a babarayuang jo kawan.
Ibu membeli bahan-bahan untuk membuat nasi goreng, sementara ayah membeli bahan-bahan untuk membuat bakso, membuat dapur terlihat ramai dengan bahan-bahan segar dan aromatik yang membuat terasa lapar.	Indak tajadiak maka ibu asamo bahan-bahan untuak bikin nasi goreng, seak hanyar ayah saamo bahan-bahan untuak bikin bakso, samua bagantiak dalam dapur bisi nampoknya ladang pakoyik bahan-bahan  junsung dan bau sinsiroknyo yang bikin bantaik bariok.
Hari ini aku bangun pagi-pagi, lalu aku mandi, kemudian aku sarapan, setelah itu aku berangkat ke kantor, dan ketika sampai di sana aku memeriksa email dan memulai pekerjaan saya.	Hari ni kito bangun tanggal pagi-pagi, lalu kito mandi, pasrahlah kito nasi, pasobab itu kito beparasian ka kantor, bila hamba laiye di sanoi, kito mamanci email jo mulai bekerja.
Rencana pemerintah untuk memperbaiki infrastruktur di seluruh negeri mencakup pembangunan jalan tol baru, perbaikan jalan-jalan nasional dan provinsi yang rusak parah, pembangunan bandara baru dan perluasan bandara yang sudah ada, serta pengembangan pelabuhan dan stasiun kereta api yang lebih modern dan efisien.	Bagalo pemerintah na untuah mamperbaiki enggang kekabupaten, sabalunyo kito cakok nan barakiknya alah jalan tol baru, pamperbaikan jalan-jalan nasional jo propinsi nan durangka parah, pamugaran bandara baru nan pembanaan bandara nan ado, jo pemolayan ugahari nan rangkai kerata api nan leboh modern jo efisien.
Saya ingin pergi ke toko untuk membeli makanan, namun saya kehabisan uang, jadi saya harus ke ATM terlebih dahulu, lalu saya akan menuju ke pasar untuk mencari bahan-bahan yang saya butuhkan, dan setelah itu saya akan kembali ke rumah untuk memasak.	Aku ingin mandaki ka toko untuak magari makanan, tapi aku dah andak uang, untuk itu aku keno mandaki ke ATM riyek, lalu aku akan mancari pasar untuak magari bahan-bahan nan aku butuhkan, pascaitu aku bakarau pulang ka umah untuak masak.
Ketika aku sedang menikmati secangkir teh hangat di pagi hari, jarum jam di dinding terus bergerak dengan ritme yang terus berulang-ulang, sementara nama-nama burung yang terdengar di luar jendela rumah semakin lama semakin beragam.	Babalunia tabua tadangan ulun cimui-cimui loyo di pagi hari, akalaloluak di dinding terus batulang-batulang baringeh, sadangkan linto-lintonyo yang santiak di rambuang samakin banyok lalu masehikian.
Saya suka makan nasi, minum teh, dan menonton film di bioskop setiap akhir pekan, tetapi kadang-kadang saya juga suka pergi ke pantai atau gunung untuk rekreasi dan bersantai.	Saya panggolok mangganti nasi, dibarek teh, sareujuak tinggakan bakalaikan di bioskop disuakan akhir minggu, nan kapalo kalo saya jujuangka manggati pantai atau gunuang untuk rekreasi dan mengabui.
.Ketika saya sedang menikmati secangkir kopi di pagi hari dan membaca surat kabar, teman saya sedang mengendarai sepeda menuju ke kantornya sambil mendengarkan lagu kesukaannya, sedangkan ibu saya sedang memasak nasi goreng di dapur dengan bumbu-bumbu yang telah disiapkan sejak malam sebelumnya.	.Saat aku lagi menikmati susu padi dan makan bubur di pagi hari sambil baca koran, kawan aku lagu mengayuh basikal menuju ke pekanteraannyo sambil mendengo lagunya yang di kasiangi, sementaro ibu sajo di dapua lagi masak nasi goreng dengan bahan-bahannyo yang diheyomkan sejak malem nan busua.
Indonesia adalah negara yang kaya akan keindahan alam yang menawan seperti pantai yang cantik, gunung yang tinggi, dan hutan yang luas serta memiliki keanekaragaman budaya yang beragam seperti tari tradisional, sastra, dan seni rupa yang indah.	Tanah Minangkabau sampai hari ini masih mempertahankan hamparan sawah yang hijau, pemandangan bukit-bukit nan indah, dan sungai yang mengalir deras sepanjang waktu, serta kekayaan budaya yang berlimpah seperti tari piring, randai, dan musik tradisional yang bertahan hingga kini.
.Saya senang ketika cuaca cerah, karenanya saya suka menghabiskan waktu di luar ruangan dengan berjalan-jalan di taman, mendaki gunung, atau bermain dengan anjing saya; sedangkan, ketika cuaca buruk, saya lebih suka menghabiskan waktu di dalam ruangan sambil membaca buku, menonton film, atau memasak makanan yang lezat untuk dinikmati.	.Saya sukong kalu udaro barinyo, karan itoh bacarajo dimana ubek samo teman doh dari padeh luwarang, maco mankubali gunuang, atau mambomo labiah bareng kanak sawah; sedang dilaih syak, kalu udaro badonyo, sajo sukong duio di dalam ruonggo sambil bacongka bahaso, balanjo film, atau masak-masak banyak gurih sambil dimakan.
.Ketika aku tumbuh dewasa, aku belajar bagaimana menjalin hubungan yang kuat dan membangun komunikasi yang efektif dengan orang-orang di sekitar saya, belajar bagaimana menyelesaikan konflik dengan bijaksana, dan menghargai perbedaan pendapat serta mendengarkan pendapat orang lain sebelum mengemukakan pendapat sendiri.	.Uchkiah taduduak suku, aku belajar manggali hubuang yang kuat dan mammanguni bahaso yang efektif bakulo anak di langik, belajar manggumahkan kanflik dengan bijok suko dan mamborongi parbediah pandapot turumah gadang kabau sadonyo dek ndakaik pandapot sarakik.
Hari ini saya akan membuat kue lapis legit, berbelanja di supermarket, menyapu lantai rumah, membersihkan kamar mandi, dan memanggang ayam goreng untuk makan malam.	Hari inyo sayo akan bikin kuih lapis leget, menjahui di pasar, mengekep lantai rumah, manghapus kamar mandi, dan manunggang kuciak goreng untuk nan rumah makan malam.
Kemarin saya bangun pagi-pagi dan langsung mandi, kemudian saya sarapan roti dan minum kopi di teras rumah, setelah itu saya pergi ke kantor dan memulai pekerjaan saya dengan mengecek email dan mengatur jadwal meeting.	Tadi siang aku bangun pagi-pagi dan langsung mandi, lanjut aku makan nasi goreng dan minum teh di beranda rumah, terus aku pergi ke sawah dan membajak sawah dengan traktor, selepas itu aku pulang dan mengecek kerjaan di laptop.
Melihat langit yang cerah dan biru, melihat pepohonan hijau dan rimbun, serta merasakan angin yang sejuk dan lembut membuat aku teringat akan hari-hari bahagia di masa lalu.	Mambasui langik jo biruh, mamandangan taluak hijau jo rancah, sabalunyo madengar anginnyo nan maleh jo lembut mambuat lamo pambaluik lamo nan sopanik di ijoek basuo.
Pada awalnya, angin kencang menerpa laut lepas, lautannya bergelombang tinggi dan ombaknya selalu mengguncang kapal yang melintas di situ, sementara di daratan, hujan deras turun dari langit, petir menyambar-nyambar di sekitar dan halilintar menggelegar di kejauhan, lalu dari kejauhan terdengar suara orang berteriak dan mencari pertolongan.	Tasuruik mulai, angin ghoncang mamba panyeknyekan samudra, payang balaweh tinggi dan ombaknyo nah turgo mengoguguik kapal-kapal yang lintas di situ, sementaro di paruparo, air buruh mamburuh turun dari jo langit, tanjuang tokoh mambusurok-urokan disekitaran dan ampek ujuang terdengo di suaro jae-jauahan, dek kamanakan jadi terdengo sor
Ketika hari yang cerah dan menggoda untuk bersantai, banyak orang memutuskan untuk pergi ke taman, ke pantai, atau bahkan ke daerah pegunungan untuk mendapatkan sensasi dan pengalaman yang luar biasa, tetapi beberapa orang memilih untuk tetap di rumah dan menikmati kenyamanan rumah mereka dengan membaca buku, menonton film, atau bermain game.	Kalau adolah harok nan ceria dan di galuak untuak batiduak, manyok ado nyarikaki taman, pantai taucang samawa panuaian, ateh bajalan ribuik sintuo dan pengalamian lamo, tapi bacalah alunan bajar, nananang film, lai jo main gami, mangkonyo adolah jo mancari katesian adiak di linduang saya.
Sebagai seorang mahasiswa yang rajin, saya selalu datang tepat waktu ke kampus, membawa laptop yang cukup powerful untuk mengerjakan tugas, membaca buku referensi yang telah direkomendasikan dosen, dan memanfaatkan fasilitas yang ada secara optimal agar produktivitas saya meningkat.	Bagariak daripado mahasiswa yang rajin, saya selalu mamangih waktu yang patang ke kampus, nicak laptop yang cukua powerful untuak taibo tugas, maikuang buku referansi yang jadi direkomendasikan oleh dosen, dan manfaatkan fasilitas yang ado dengan optimal supaya kreativitas saya makin meningkat.
Setelah melakukan upacara adat, kami menikmati makanan yang lezat dan mengisi waktu dengan percakapan yang hangat dan penuh tawa, sementara sinar matahari perlahan mulai tenggelam di ufuk barat dan langit terlihat semakin merah jambu.	Setelah mamakan masakan adat, urang mangon percakapannyo saling kamari masihok, sarato ujuang suareknyo baruminyo gadang banomo bumi, sarawa langitnyo jadinyo bangsa merah jambu pun mandago.
Mereka pergi ke toko roti, kemudian ke pasar, lalu ke taman, dan akhirnya ke bioskop.	Barulah barakaik lah kami ka tokoo roti, lalu ka pasar, nan kemudian ka taman, labiah sadonyo ka bioskop.
Ketika musim hujan tiba, air sungai meluap dan banjir bisa terjadi, banyak orang harus mengungsi ke tempat aman, serta banyak kendaraan terhambat di jalan karena banjir tersebut.	Datangnyo musim hujan, aia sungai banaik gilo dan banjir sadonyo bisa mangunjungi, babanyak suku manusia keno salamo rimo barajuan, banaik juo kandar jo jalan dek banjirnyo.
Saya suka makan nasi goreng yang pedas dan berbumbu meriah, minum segelas teh manis yang hangat, dan menikmati pemandangan matahari terbenam yang indah di pantai.	Saya suka makan nasi goreng yang ladaunya tumbuh liar dan bumbunya pulo rampek, minum satu gelas teh manis yang hangat-hangat badar, dan ndakabo pulo nikmati pemandangan sopan cahayo jarek panta yang cantik-cantik.
.Banyak penduduk Indonesia suka berlibur ke pantai, gunung, dan kota-kota besar seperti Jakarta atau Surabaya, sedangkan banyak orang Indonesia juga menghabiskan waktu luang mereka untuk makan, nonton film, dan berolahraga di taman-taman kota.	.Raminang-manganak panyampo mangan di warung padang, manutuik artawa bakatam di jamban, marapuak tariik nan limaik di padang rumput, sabilalang rumah pangkek di sawah, balalik rumah adat duyo, dan padiah-padiah maniq di berahe.
Di pagi hari yang cerah, saya bangun dengan segar untuk menyambut hari yang penuh dengan berbagai aktivitas mulai dari bekerja di kantor, menghadiri rapat dengan rekan kerja, berolahraga di gym, memasak makanan sehat di rumah, hingga membaca buku-buku inspiratif untuk menambah pengetahuan dan memperluas wawasan.	Di pagi hari nan cerah, saya anganun jompo tigo-tigo untuk menyambut hari nan penuah dengan gorondangan rakan-rakan kerja, sogok mambaco di gym, pianjuang mambuat pantang sambilan di rumah, sampai bacao tulisan nan mantap untuk miambangkan ilmu dan moronyo.
.Semua orang ingin hidup bahagia dan sejahtera, oleh karena itu mereka bekerja keras, berusaha belajar dan berkembang, menghargai yang lain, dan mengambil tindakan yang positif dalam kehidupan mereka.	.Sadonyo urang bakal mempertahankan hiduik nan manjadi bahagia jo sejahtera, sakapeh adolah s
Sebagai seorang pekerja di sebuah perusahaan, saya bertanggung jawab untuk menjalankan tugas-tugas yang diberikan oleh atasan saya dengan baik dan penuh tanggung jawab, serta selalu mengedepankan etika kerja yang baik dan sopan santun dalam berkomunikasi dengan rekan kerja dan pelanggan.	Sabagai sopalai tukang di sabuah perkumpulan urang, aia adolah nanganggo tanggung jawab untuak mamaian tugas-tugas nan dikasoakan oleh kakak balai aia dangan baik-baik jo panyokong tulangan, nan sambah nan sisuanggilang aia saruangan adolah manghormati udahar anduang, sopan santun dalem bakomunikasi ka sisuanggilang sarato nagari.
Saya memiliki seekor anjing bernama Max yang sangat enerjik dan cerdas, dia selalu senang berlari di taman dan melakukan trik-trik yang keren, serta sangat menjaga rumah saya baik siang maupun malam hari.	Saya ado jalo anak anjing nan kamari Max nan sangat lah sayo dan pandai, dia selalu gemburok di taman manjalankan almari-jambar yang kacak dan ikhlas menjaga limo-rumoh saya, indakaratuhu sakahari ateh unjuang.
Sekarang sangat panas di Jakarta karena musim kemarau, banyak orang memilih untuk tinggal di dalam rumah dengan AC, dan para petani harus bekerja lebih keras untuk menjaga tanaman mereka tetap hidup.	Saiki amat panas di Jakarta alunak musim khemarau, banyok urang nan pilih mangimbau di dalam rumah ado AC, jo parampek palayanan kudu kamborangan nan kabauangan untuk manjaga laran jo air pakayuaan ado.
Saya suka makan nasi padang karena rasanya sangat gurih dan nikmat, sedangkan teman saya suka makan mie ayam karena teksturnya yang kenyal dan bumbunya yang khas.	Aku mahsayo makang nasik padang kaik maik cunduang kaik baunnianyo ampeek nikmat, sabagai itamanku suko makang mie ayam kaik baunnio baernacki dan baunnionyo titikianyo khas.
Hari ini aku bangun pagi-pagi, membersihkan kamar mandi, memasak sarapan, dan mencuci piring.	Hari ini aku bangun sunyi-sunyi, mangadongkian kamar mandi, mamanggang sarapan, dan mengicuak pinggan.
.Ketika kamu membuka pintu dan masuk ke dalam kamar, kamu melihat sebuah meja besar di tengah ruangan yang di atasnya terdapat sebuah vas bunga dan beberapa buku tebal yang tersusun rapi di samping selembar kertas kosong dan sebuah pensil.	.Katinggalkan dapor dan masuk ka kamarek, katan ado satu meja bakuah di tengan kamarek di mana donyo ado vas bunga nan sabaliknyo ado beberapa buku tebal nan rancak tandiang bayek salain jo surat kosang nan sebungkus pensil.
Ayah saya bangun pagi, mandi, sarapan, pergi ke kantor, bekerja hingga sore hari, pulang ke rumah, makan malam, dan kemudian istirahat.	Babako saya tibo pagi, bekenca, sarakik, gokak ka kantor, kalokan sakuang-sakuang, pangko pulang ka rumah, maaki-ak, dan nanti disumambua.
Para petani di Jawa Barat selalu mengeluh tentang sulitnya mendapatkan pupuk, bibit, dan alat pertanian yang mahal, sementara harga beras di pasaran semakin menurun karena adanya impor beras dari negara-negara lain.	Banyak petani di Sumatera Barat yang mengadu tentang susahnya mencari pupuk, bibit, dan peralatan pertanian yang mahal, sementara harga padi di pasar semakin turun gara-gara adanya beras import dari negeri lain.
Hari ini, saya bangun pagi-pagi dan menyusun jadwal kerja untuk minggu ini, kemudian saya mandi dan sarapan dengan bubur ayam, setelah itu saya pergi ke kantor dengan membawa laptop dan mengendarai motor.	Hari inyo, aku bangun pagi-pagi dan menyusu jadwal kerjo untuak minggu ko, lalu aku mandi dan sarapan sama bubur ayam, sabalah itu aku bae kamari ka kantor sambari ganjar laptop dan manaik motor.
Pagi-pagi buta, saya bangun dari tidur, menyeduh kopi panas, membaca koran pagi, mandi dan bersiap-siap untuk pergi ke kantor.	Sabagek-pagek uda, saya nanam bangun dari tido, nyedoh kopi panas, mambaca koran pagi, mandi dan batahik beralauik rido ka kantor.
.Seorang pemuda yang cerdas, giat belajar, bersemangat membangun karir, serta peduli lingkungan dan sosial, selalu berusaha untuk terus meningkatkan dirinya dalam segala aspek kehidupan dan mempersiapkan masa depan yang cerah bagi dirinya dan orang-orang di sekitarnya.	.Seorang anak laki-laki yang pandai, rajin belajo, kito-duo ranjuang mambahio karajo, serta rinai-rinai jo ramah masyorakat, samak kito jupuah merantau di nangkek tangan sampeiah jo manjaga adat basandi sapaso momen, kalakian, jo ngapakoyo masa jo capak kito ba'akan malang babagi diri jo orang nan bararak itam, amboi ringgangnyow kito, tabiknyow.
Ketika aku sedang dalam perjalanan menuju ke kota besar, aku mengamati keindahan alam yang di sepanjang jalan, merasakan hembusan angin sejuk yang menyejukkan hatiku, serta mendengarkan lagu-lagu favoritku di radio kesayanganku.	Saban kini kamanakan diri di dalam perjalanan menuju ke kota jorong, saban kini mangkekuri keindahan alam yang di sepanjang jalan, mangkubur lukuan angin sejuk yang menyegarkan hatinya, sarato manarima denai-denai palintuang di radio kesayangannyo.
Aku suka makan bakso, nasi goreng, mie goreng, dan ayam goreng.	Aku suko mangan bakso, nasi goreng, mie goreng, lan ikan bilih.
Setiap hari saya bangun pagi-pagi sekali, membersihkan diri, kemudian sarapan sebelum pergi bekerja di kantor selama 8-10 jam, dan setelah pulang, saya biasanya berolahraga sejenak sebelum menghabiskan waktu bersama keluarga di malam hari.	Setiap harinyo kami bangun pagi-pagi nan awal, ngajalibuangkan diri, biasonyo alas piaman sabalum turun pulo rumah sakaliyan untuk mamuasakan perusahaan kami nan sadinho 8-10 jam, sabalum balu pulang, kamhi santiok manguliah kaambakan sejumpak sabalum mamilahasa kanal nan dibangunkan kampuang, nan biasonyo pulang pasolong punyo sumando dan kaduang nan piak pancariahan di kampuang.
Saya suka makanan pedas dan manis, saya juga suka olahraga dan tidur yang cukup, dan saya senang menghabiskan waktu dengan keluarga dan teman-teman.	Saya suko makanan pedaso dan manis, basamo jo suko anjo realiti dan bobago, salaso suko amak mai dato dan kaawok sajo, sapuloh suko amak ratuik jo kawan-koawan.
Para ilmuwan dari berbagai bidang kajian, mulai dari sains, teknologi, ekonomi, sosial, hingga humaniora, sedang mengembangkan berbagai penelitian dan inovasi untuk mengatasi beragam permasalahan global seperti perubahan iklim, kemiskinan, ketimpangan sosial, dan konflik bersenjata.	Para orang pandai dari banyak lapangan ilmu, mulai dari sains, teknologi, ekonomi, sosial, sampai humaniora, tengah nanamahakan biau bacacau, nanamahakan bejuluk, dan nanamahakan karano untuk membolehkan adat nan pamuliak unyo sapuloh konduk nan kacilah-bilah ka Tuhan, sapuluah taluik ka dunia, urang ka mangko sarua untuak menyelesiakan mambakara aktual ka limo, ka babaritan, ka kakilang sosio, dan ka kanflik sabiji-sabiji.
Pada hari Minggu, saya bangun pagi-pagi sekali, mandi dan kemudian berlari di taman, sambil mendengarkan lagu-lagu kesukaan saya yang mengalun di telinga saya, dan kemudian kembali ke rumah untuk menikmati secangkir kopi sambil membaca koran pagi.	Di hari Minggu, tabang mandi merapu di pangi-ulam, sabanten mangambang lagu-lagu andam pemmanuelan di daluang-daluangan, tonggo pulang pamilik nan samo minum sajo kopi tandui acok anak minang nan barabuah koran pagiuang.
Saya belajar bahasa Inggris setiap hari dengan membaca buku, menonton film, dan berbicara dengan teman-teman yang berbahasa Inggris sebagai bahasa ibu mereka.	Saya magajar bahaso Inggris basamo disarato ado buku, nanyak-tanyo filem, dan bicaro samo kawan-kawan nan bahaso Inggris mangonae jadi bahaso midua.
Ketika saya bangun tidur pagi-pagi sekali, saya langsung membersihkan diri, berolahraga, dan sarapan sebelum pergi bekerja.	Kalau saya baru ameh dari tidur di pagi hari, sajo basampi bumbunghuat, mangayo urang, lai nyumpepek sabalah ngkah.
Sekarang sedang musim hujan, jadi harus selalu membawa payung ketika keluar rumah agar tetap kering dan tidak terkena penyakit, tapi tetap harus hati-hati ketika melintasi jalanan licin karena banyak orang yang terseret air ketika lewat banjir.	Saat inyo musim hujan, maka ko harus bawa payuang sajo kalau mancari rumah, supayo bawok sayuik ampek tida keno sikuik, tapi harus bolengo-bolengo sajo kalau mijak talunau nan rapit, sabagai ramuan haja dibawa hati, sabab banyok urang mancari cacuak pasang kalau melayat basuah.
Di pagi yang cerah ini, saya akan pergi ke pasar untuk membeli sayur-sayuran segar seperti bayam, kubis, wortel, dan timun, dan juga akan membeli beberapa buah mangga, alpukat, dan pisang.	Sabalun pagi saratia takana mandasia pasar untuak nak mamalikan sayur-sayuran baruah saperti bayam, kalalapo, manggis, timun, dan sampai mamalikan buah mangga, pucuk ubi, dan piai.
Hidup sehat adalah kebutuhan mutlak bagi manusia, karena dengan tubuh yang sehat kita dapat melakukan banyak hal yang bermanfaat seperti bekerja dengan produktif, menikmati keindahan alam, dan berinteraksi dengan masyarakat yang luas.	Baapiak kan sakato hiduik padiamin manja bagi manusiak, sabana ai badan nan baapiak baapyiak, bakonyuik makato sakanak lamo sangatlah mudah nan asoi, kanyo adisak gustian alami, dan mengkoalisi kaum.
Saya ingin pergi ke pasar untuk membeli sayuran segar, beras berkualitas tinggi, daging sapi yang lezat dan ikan laut yang segar, supaya bisa memasak makanan lezat untuk keluarga di rumah.	Saya mangko mauan ka pasar untuak baliak sayur saraha, beras bajakan paling patang, daging dandangnyo mancariak dan ikan laut mandeh saraha, supaye bakato masak makanan lezat untuak ka keluargo di rumah.
Saya suka makan nasi goreng karena rasanya enak dan gurih sedangkan teman saya lebih suka makan mie goreng karena lebih praktis dan cepat diolah.	Saya senang makan lauk pauk gulai karena rasanya sedap dan bikin ketagihan sedangkan adik saya lebih suka makan ayam pop karena lebih mudah dicerna dan bagus bagi kesehatan.
.Masyarakat Indonesia harus tetap waspada dan taat protokol kesehatan selama pandemi COVID-19, serta mendukung kebijakan pemerintah dalam upaya menanggulangi krisis kesehatan ini, dengan terus berpartisipasi dalam vaksinasi dan menyumbang peralatan medis, sementara juga menjaga ekonomi dan kehidupan sosial di tengah tantangan yang tidak biasa ini.	.Masyarakat Minang harus tetap awas dan patuh protokol kesehatan selama pandemi COVID-19, serta merundang atau bujangekkan sapikambang rakan adat dalam upaya mengurus kan krisis kasehatan ini, dengan terus bermunagaik lahia dalam abun beguruang dan maiburakan pajuik, samantaro banganjuang laihai apua adak dalam magehiko moparuaik rayuik dan kosa sosial yag dak biasa ini.
Ketika saya pertama kali datang ke kota ini, saya merasa kesepian, gelisah, dan kebingungan karena saya belum mengenal orang di sini dan saya belum tahu bagaimana cara mencari pekerjaan di sebuah kota yang baru bagi saya.	Lamo-lamo nan sampei di koto nyo, saya raso kesepian, kasik-kasik, dan bacayo karena saya indak adiak nan lamo di sini jo saya indak cerito lai bagaimano caronyo mencari kapek di suatu koto nyonyo bagi saya.
Saya suka makan nasi, mie, bakso, sate, nasi goreng, mie goreng, bakso goreng, sate padang, ayam goreng, ayam bakar dan semuanya yang berbau rempah-rempah.	Saya suka mangan nasi, mie, bola bola, sate, nasi goreng, mie goreng, bola bola goreng, sate padang, ayam goreng, ayam bakar sarek sabana yang kemangi basambit.
Di masa pandemi ini, kita membutuhkan kebersamaan, kepercayaan, ketenangan, dan kebijaksanaan untuk menghadapi perubahan yang tidak terduga.	Dalam masa pandemi ini, kito kato baja-bajaan, basabar, pior, babantah, dan kapandian untuak mamakai tanggapan di sahenggok-gok sajo yang indak kapaliku.
Saat awal pandemi COVID-19, banyak negara di seluruh dunia mulai melakukan lockdown yang ketat, melakukan penutupan perbatasan, mengurangi mobilitas, membatasi kegiatan sosial, mengadopsi kebijakan work from home, serta meningkatkan kapasitas rumah sakit dan fasilitas kesehatan di seluruh negeri.	Ulunak di maso awal pandemi COVID-19, mangkonyo nanak-nanak di nagara kasudahan sapuluah mudo katan malakuakan lockdown nan waitik, mamambatiakan pat bataso, mangarikiakan mobilitas, maikatakan aktivitas sosial, magalakkan kajelan work from home, serta menambahnukan kapasitas rumah sakit dan fasilitas kesehatan di seluruh nagari.
Saat matahari terbit dari timur, burung-burung mulai berkicau dan pepohonan bergoyang-goyang karena angin bertiup sepoi-sepoi, sementara bunga-bunga di taman mulai mekar dengan warna-warni yang indah.	Bila suriah tibua dari timur, manuk-manuk baralalu mangambang dan dahan-dahan baralu melambuyiang riak-riak suara nyambut angin lembut, samantaro bungo-bungo di taman kok mari mekua den ngacak nan indah nan menarik.
Saya ingin makan nasi goreng yang pedas dan memiliki banyak sayuran seperti wortel, kacang polong, dan kubis yang diaduk dengan telur dadar, sedangkan teman saya ingin makan mie goreng yang renyah dan bercitarasa bumbu rempah yang enak dengan potongan ayam yang lezat.	Saya ingin mamujuang nasi goreng nan lombok kapalo dan adoiak lahia salamo goreng nan pariah bana, tongah teman sayo ingin mamujuang mie goreng nan rempah paruik nan lamo lamo sadonyo anyo angin nan adang jo dadiah ayam yang endo.
.Saat ini, di tengah pandemi yang melanda seluruh dunia dengan jumlah korban yang semakin meningkat, pemerintah mengambil tindakan tegas dengan memberlakukan kebijakan pembatasan sosial berskala besar yang bertujuan untuk memutus mata rantai penyebaran virus Corona, memperkuat sistem kesehatan, mengatasi masalah ekonomi yang muncul, serta memberikan bantuan kepada masyarakat yang terkena dampak virus tersebut.	.Pado sarato, di pikonan pandemi nan lamaknyo kaso dunio manyangso ka kapaloian ajo jumlah korbannyo malah nan nyapek, pakarajo nan macuak dek pamontoan nan tegotop taik siapaik kajo membaharui corongjok virus Corona, manunchiangka parhatian kaso, mamulai sakolaah ekonominyo, bakanjuang bantuan ka masyarakat nan kesailapo corongjok tu.
"""Saat ini, situasi ekonomi di seluruh dunia sedang tidak stabil akibat pandemi COVID-19 yang berimbas pada berbagai sektor, seperti pariwisata, transportasi, permintaan barang, dan pengangguran yang semakin meningkat."""	"""Saat ini, kondisi ekonomi di seluruh dunyo sedang ndak stebil karano pandemi COVID-19 nan mambuat implikasi ka banyak sektor, kaik kito pariwisata, tranportasi, tuaangan barang-barang, jo mengito pengangguran nan semakin kupas."""
.Apapun halangan dan rintangan yang dihadapi dalam perjalanan hidup, orang harus selalu berjuang dan tidak menyerah dengan mudah, karena hanya dengan tekad kuat dan usaha keras, segala impian dan cita-cita akan tercapai.	.Apo mambantuangan dan hulang tambang yang jadi didalaman bunyan, mandok manungguang harus barjuang dari halaman dan tida pado mudah nyerah, sabab hanya dengan paluang kokoh dan urang kuat, sekaliang mangaian dan harapan acok terbuka.
